policy_title,state,sector,launch_year,description,source_url
Shiv Bhojan Thali Scheme,Maharashtra,Food Security,2020,"Affordable meal scheme providing subsidized food to economically weaker citizens through government-supported meal centers across Maharashtra.",https://maharashtra.gov.in
Jalyukt Shivar Abhiyan,Maharashtra,Agriculture,2015,"Water conservation and drought mitigation program aimed at making villages drought-free through watershed development and water storage projects.",https://maharashtra.gov.in
Majhi Kanya Bhagyashree Scheme,Maharashtra,Social Welfare,2016,"Financial assistance scheme promoting the welfare and education of the girl child by providing long-term savings benefits for families with daughters.",https://maharashtra.gov.in
Balasaheb Thackeray Shetkari Sahayata Yojana,Maharashtra,Agriculture,2019,"Financial assistance program supporting farmers affected by crop loss due to natural disasters and adverse climatic conditions.",https://maharashtra.gov.in
Nanaji Deshmukh Krushi Sanjivani Yojana,Maharashtra,Agriculture,2018,"Climate-resilient agriculture initiative helping farmers adopt sustainable farming practices and improve soil and water management.",https://maharashtra.gov.in
Mahatma Jyotiba Phule Jan Arogya Yojana,Maharashtra,Healthcare,2012,"State-funded health insurance scheme providing free medical treatment to low-income families for major illnesses and surgeries.",https://maharashtra.gov.in
Gharkul Yojana,Maharashtra,Housing,2011,"Housing assistance scheme for economically weaker rural households to construct or improve their homes.",https://maharashtra.gov.in
Savitribai Phule Scholarship Scheme,Maharashtra,Education,2018,"Scholarship program providing financial assistance to students from disadvantaged backgrounds to support continued education.",https://maharashtra.gov.in
Mumbai Metro Expansion Program,Maharashtra,Infrastructure,2014,"Large-scale urban transport infrastructure initiative expanding the Mumbai metro rail network to improve mobility and reduce congestion.",https://maharashtra.gov.in
Lek Ladki Yojana,Maharashtra,Social Welfare,2023,"Financial support scheme encouraging the welfare and education of girl children by providing monetary assistance at different life stages.",https://maharashtra.gov.in
Goods and Services Tax (GST),India,Economy,2017,"A nationwide indirect tax system that replaced multiple central and state taxes with a unified tax structure to create a single national market.",https://www.gst.gov.in
Aadhaar,India,Technology,2009,"Biometric digital identity system providing unique identification numbers to residents for authentication and delivery of government services.",https://uidai.gov.in
Pradhan Mantri Jan Dhan Yojana,India,Economy,2014,"Financial inclusion program providing bank accounts, debit cards, and financial services to unbanked citizens.",https://pmjdy.gov.in
Swachh Bharat Mission,India,Infrastructure,2014,"National sanitation campaign aimed at eliminating open defecation and improving solid waste management.",https://swachhbharatmission.gov.in
Ayushman Bharat,India,Healthcare,2018,"Health insurance scheme providing coverage to economically vulnerable families for secondary and tertiary medical care.",https://pmjay.gov.in
Make in India,India,Economy,2014,"Initiative to promote domestic manufacturing and attract foreign investment across multiple industrial sectors.",https://makeinindia.com
Digital India,India,Technology,2015,"Program to transform India into a digitally empowered society with improved online infrastructure and digital services.",https://digitalindia.gov.in
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),India,Agriculture,2019,"Direct income support program providing financial assistance to small and marginal farmers.",https://pmkisan.gov.in
Pradhan Mantri Ujjwala Yojana,India,Social Welfare,2016,"Program providing subsidized LPG connections to low-income households to replace traditional cooking fuels.",https://pmuy.gov.in
Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),India,Social Welfare,2005,"Rural employment program guaranteeing wage employment to households for public works projects.",https://nrega.nic.in
